Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9642291666666667,0.9641276804176718,0.9649165547618259,0.9642291666666667,0.9997846319093716,1.0
Original,test,0.8953333333333333,0.8950467007479975,0.8973398876145435,0.8953333333333333,0.998776992143659,1.0
Quad4FHE,fit,0.9599375,0.9598271695585374,0.9607441738166385,0.9599374999999999,0.9997490679363077,0.9914375
Quad4FHE,test,0.8956666666666667,0.8953669236851368,0.8979367824911493,0.8956666666666667,0.9986287142255893,0.9875833333333334
square,fit,0.8587291666666667,0.8584782422751941,0.8866415394962311,0.8587291666666667,0.997402092978395,0.8684583333333333
square,test,0.78025,0.7819284695930121,0.8161150270590263,0.7802499999999999,0.9925476010101011,0.8293333333333334
ls_poly_2,fit,0.9355625,0.9345923796058755,0.9419806739798235,0.9355625000000001,0.9996554902321829,0.9607083333333334
ls_poly_2,test,0.8841666666666667,0.8843015880494725,0.8951431598889497,0.8841666666666665,0.9987358235129068,0.9520833333333333
ls_poly_3,fit,0.9457708333333333,0.945515200147735,0.9483832402532072,0.9457708333333332,0.9996821943392256,0.9746458333333333
ls_poly_3,test,0.8926666666666667,0.8926809528183548,0.8972618235242235,0.8926666666666666,0.9987724537037039,0.9706666666666667
ls_poly_5,fit,0.9548541666666667,0.954702921799387,0.955917465154004,0.9548541666666666,0.9997292657477552,0.9865625
ls_poly_5,test,0.8960833333333333,0.8958726672137972,0.898760586121501,0.8960833333333335,0.9987912317620651,0.9849166666666667
ls_poly_7,fit,0.9583333333333334,0.9581957082795272,0.9591540732207848,0.9583333333333331,0.9997495199389731,0.9912083333333334
ls_poly_7,test,0.8960833333333333,0.8958320627624752,0.8983551303738659,0.8960833333333335,0.9987874368686867,0.9898333333333333
remez_2,fit,0.9450833333333334,0.9448465607533332,0.947528044957001,0.9450833333333333,0.9996710898042928,0.9737083333333333
remez_2,test,0.8925,0.8925637095106428,0.8970663150160126,0.8925,0.9987753437149268,0.9694166666666667
remez_3,fit,0.9497916666666667,0.9496707302526167,0.9510881818427552,0.9497916666666666,0.9996930086454826,0.9795833333333334
remez_3,test,0.89575,0.895723675984571,0.8986333968148338,0.8957499999999999,0.9987908108866441,0.9778333333333333
remez_5,fit,0.958125,0.9580367875661345,0.9587644161717115,0.958125,0.9997410007189955,0.9893958333333334
remez_5,test,0.89675,0.8965253875187339,0.8985279714113037,0.8967500000000002,0.9987902006172839,0.98825
remez_7,fit,0.9610416666666667,0.960960826064985,0.961634414648189,0.9610416666666666,0.9997616626332773,0.9932708333333333
remez_7,test,0.8959166666666667,0.8956149127358176,0.8977828825547789,0.8959166666666668,0.9987757435465769,0.9914166666666666
ola,fit,0.9639166666666666,0.9638103309991237,0.9646060720061379,0.9639166666666668,0.99978341575477,0.9990625
ola,test,0.8955833333333333,0.8953023796307826,0.8976657752564324,0.8955833333333334,0.9987753226711561,0.99775
precise_a11,fit,0.9642916666666667,0.9641931814617333,0.9649759368676741,0.9642916666666668,0.9997846735585019,0.9999375
precise_a11,test,0.8953333333333333,0.8950467007479975,0.8973398876145435,0.8953333333333333,0.9987768799102134,1.0
