Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8948333333333334,0.8948570114401327,0.8977654324472089,0.8948333333333334,0.9987653198653199,1.0
Original,test,0.8940833333333333,0.8941023764922714,0.8964004843528538,0.8940833333333333,0.9986951038159373,1.0
Quad4FHE,fit,0.8945,0.894613000837208,0.89760692595509,0.8945000000000001,0.998766610549944,0.9891666666666666
Quad4FHE,test,0.8938333333333334,0.8938326126603643,0.8961259258543787,0.8938333333333333,0.9986685606060606,0.9885
square,fit,0.8198333333333333,0.8191224613160412,0.8437618646832687,0.8198333333333332,0.9941772446689114,0.8725
square,test,0.818,0.8185952025634391,0.843265239136889,0.818,0.9949175855780021,0.8726666666666667
ls_poly_2,fit,0.881,0.8813169699468493,0.8916230952817823,0.8809999999999999,0.9987496913580247,0.9548333333333333
ls_poly_2,test,0.8825833333333334,0.8831266671255632,0.890745617162125,0.8825833333333334,0.9986569514590345,0.9589166666666666
ls_poly_3,fit,0.891,0.8911136309979494,0.8959801127087893,0.8910000000000001,0.9987879349046014,0.9738333333333333
ls_poly_3,test,0.8899166666666667,0.8900277802667348,0.8937024901653475,0.8899166666666667,0.9987098625140294,0.97475
ls_poly_5,fit,0.8933333333333333,0.8934192724238906,0.8968423618503348,0.8933333333333333,0.998789534231201,0.9861666666666666
ls_poly_5,test,0.89325,0.8932590773477684,0.8958978138168259,0.89325,0.9987213453984286,0.9875
ls_poly_7,fit,0.894,0.8941003183396306,0.8971123881616115,0.8939999999999999,0.998777076318743,0.9916666666666667
ls_poly_7,test,0.8943333333333333,0.8943281948069298,0.8967591807111509,0.8943333333333332,0.9987163299663299,0.99175
remez_2,fit,0.8908333333333334,0.8909647437725436,0.8957902087981446,0.8908333333333335,0.9987910493827159,0.9715
remez_2,test,0.8895,0.8896123205606663,0.8933314099745742,0.8895000000000001,0.9987043420314253,0.9734166666666667
remez_3,fit,0.8931666666666667,0.8932870743325814,0.8967997729854653,0.8931666666666667,0.9988043771043772,0.9786666666666667
remez_3,test,0.89175,0.8916977523019612,0.8943639889000424,0.8917499999999999,0.9987240249719415,0.9803333333333333
remez_5,fit,0.8933333333333333,0.8934033431424939,0.8960170789560842,0.8933333333333334,0.9987854096520763,0.9915
remez_5,test,0.89425,0.8941689569801823,0.8964202485510225,0.89425,0.9987177890011225,0.98975
remez_7,fit,0.8946666666666667,0.894791318158496,0.8974672897095886,0.8946666666666667,0.998763047138047,0.9923333333333333
remez_7,test,0.8941666666666667,0.8941404137012162,0.8963693197376722,0.8941666666666666,0.9987059553872055,0.99125
ola,fit,0.8946666666666667,0.8947065910396412,0.8976275603336938,0.8946666666666667,0.9987668069584735,0.9996666666666667
ola,test,0.8934166666666666,0.8934007584768838,0.8956878673698876,0.8934166666666666,0.9982794893378226,0.9988333333333334
precise_a11,fit,0.8946666666666667,0.8946901247928959,0.8976062299002153,0.8946666666666667,0.998765039281706,0.9998333333333334
precise_a11,test,0.8940833333333333,0.8941023764922714,0.8964004843528538,0.8940833333333333,0.9986950126262627,1.0
