Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.949625,0.9496388920136924,0.9503087168762488,0.9496249999999999,0.9992056976010101,1.0
Original,test,0.798,0.7971080895037796,0.8051042959488377,0.7980000000000002,0.995311111111111,1.0
Quad4FHE,fit,0.931125,0.9309539150944341,0.9348624503442464,0.931125,0.9990702493686868,0.96425
Quad4FHE,test,0.786,0.7845903354626309,0.7998998233859629,0.786,0.9951123737373736,0.92
square,fit,0.2415,0.23511691959870376,0.47953589203446106,0.2415,0.8893936079545455,0.243625
square,test,0.18,0.16363316732755362,0.2781107265826375,0.18,0.8694236111111111,0.2035
ls_poly_2,fit,0.83525,0.8319776888082732,0.8727125647363623,0.8352500000000002,0.998225220959596,0.851875
ls_poly_2,test,0.7145,0.7099333136109186,0.767622740613472,0.7145,0.9933992424242426,0.7905
ls_poly_3,fit,0.8355,0.8311875559674918,0.8746402313620613,0.8355000000000002,0.9982532670454546,0.85225
ls_poly_3,test,0.717,0.7107909640149986,0.7656507571253066,0.7170000000000001,0.9934598484848485,0.787
ls_poly_5,fit,0.924375,0.9245770706162685,0.9287398173548452,0.924375,0.9989550662878789,0.95475
ls_poly_5,test,0.784,0.7838039290424398,0.8014402261325935,0.7839999999999999,0.9948621212121211,0.9025
ls_poly_7,fit,0.94025,0.9403515778915981,0.9419606517083164,0.9402499999999998,0.999101120580808,0.976
ls_poly_7,test,0.794,0.7938826972670838,0.8051604640192157,0.7940000000000002,0.9952166666666666,0.943
remez_2,fit,0.879875,0.8801887650004387,0.8934776289314638,0.879875,0.9984977746212121,0.899
remez_2,test,0.7565,0.7558738619221276,0.7839311283489596,0.7565000000000002,0.9939315656565655,0.8425
remez_3,fit,0.887125,0.8873436896157563,0.8978862951860194,0.887125,0.9985745896464645,0.908125
remez_3,test,0.7625,0.7616671434242552,0.7852989095726484,0.7625000000000002,0.9940684343434343,0.8525
remez_5,fit,0.932875,0.932780170604494,0.9356182912464768,0.9328749999999999,0.9990458491161616,0.9655
remez_5,test,0.791,0.7901099187127477,0.8007189209085618,0.791,0.995079797979798,0.925
remez_7,fit,0.939875,0.9399371145048825,0.9416324645574131,0.939875,0.9991423611111111,0.9775
remez_7,test,0.795,0.793319383515586,0.8034393799565048,0.7950000000000002,0.9953227272727273,0.943
ola,fit,0.949125,0.949136802222603,0.9497430727599149,0.949125,0.9991999999999999,0.997625
ola,test,0.797,0.7958576579918781,0.8028989116154481,0.7970000000000002,0.9953295454545454,0.9865
precise_a11,fit,0.949625,0.9496388920136924,0.9503087168762488,0.9496249999999999,0.9992059816919192,1.0
precise_a11,test,0.7975,0.7966191924359352,0.8047080971184283,0.7975000000000001,0.9953136363636363,0.9995
