Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.73,0.7277169856287503,0.7620158730158731,0.73,0.9930545454545455,1.0
Original,test,0.7775,0.7757633702337062,0.7854539530892403,0.7775000000000002,0.9943512626262625,1.0
Quad4FHE,fit,0.726,0.7230265094382741,0.7585952380952381,0.726,0.9919636363636364,0.942
Quad4FHE,test,0.764,0.7615726870439304,0.7727333108304589,0.764,0.9933588383838383,0.9485
square,fit,0.27,0.2845976174590726,0.4065971291866029,0.27,0.9309454545454545,0.31
square,test,0.2645,0.2820621055553147,0.41671036403884104,0.2645,0.9319458333333334,0.2955
ls_poly_2,fit,0.682,0.6679981342187223,0.7265631313131314,0.682,0.9919676767676769,0.758
ls_poly_2,test,0.681,0.6731106695954706,0.7465103973528219,0.681,0.9926873737373737,0.763
ls_poly_3,fit,0.676,0.6607945322651203,0.7227558552558553,0.676,0.9920282828282828,0.75
ls_poly_3,test,0.682,0.6746572748835509,0.7491100190232589,0.6820000000000002,0.9926896464646464,0.7635
ls_poly_5,fit,0.732,0.731234115557645,0.7796190476190478,0.7319999999999999,0.9928848484848484,0.874
ls_poly_5,test,0.7535,0.7517911452420889,0.7685252584972474,0.7535000000000001,0.9938929292929294,0.903
ls_poly_7,fit,0.73,0.7271439279674574,0.763,0.7299999999999999,0.9929616161616162,0.932
ls_poly_7,test,0.773,0.7703246175302526,0.7801353628049111,0.7730000000000001,0.994204797979798,0.9495
remez_2,fit,0.704,0.6961376956376957,0.7600212842712842,0.704,0.9923111111111111,0.808
remez_2,test,0.725,0.7201222656546653,0.752668288178717,0.725,0.9932585858585857,0.845
remez_3,fit,0.704,0.6961376956376957,0.7600212842712842,0.704,0.992339393939394,0.808
remez_3,test,0.7275,0.722694830913469,0.7532431841693418,0.7275,0.9933005050505049,0.849
remez_5,fit,0.726,0.7240187035187036,0.7669411976911976,0.726,0.9926989898989901,0.912
remez_5,test,0.7675,0.7636356738778499,0.775689722938464,0.7675,0.9941239898989899,0.9315
remez_7,fit,0.718,0.7164117353235,0.7576944444444443,0.718,0.9928161616161616,0.946
remez_7,test,0.7655,0.7623442410386414,0.7721735387778836,0.7655,0.9943098484848485,0.9535
ola,fit,0.726,0.7233688892806539,0.7581230158730158,0.726,0.9930909090909091,0.994
ola,test,0.772,0.771031189469716,0.781805965698658,0.772,0.9888118686868688,0.989
precise_a11,fit,0.73,0.7283788988788988,0.7632851037851038,0.73,0.9930585858585859,0.998
precise_a11,test,0.7775,0.7757633702337062,0.7854539530892403,0.7775000000000002,0.9943522727272728,1.0
