Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9697250540624035,0.969376413421631,0.9698011959827386,0.9694155888801417,0.9998707418817246,1.0
Original,test,0.8643805993203584,0.861766875493915,0.8690726677872171,0.862352601698735,0.9991689277427562,1.0
Quad4FHE,fit,0.9598393574297188,0.9585350240696462,0.9611712890632215,0.9588014822740629,0.9998395492952785,0.9799196787148594
Quad4FHE,test,0.8631448872412728,0.8588684835455354,0.8672221961390821,0.8604238548931558,0.9991251691305649,0.9462465245597775
square,fit,0.32970342910101946,0.32617537916328393,0.5516235138636206,0.3332932229637286,0.8796748441922972,0.3319431572443621
square,test,0.27834414581402533,0.2700115017681307,0.4140840067077728,0.28009897526408073,0.8725257762893865,0.2873030583873957
ls_poly_2,fit,0.8808310163731851,0.875424196845183,0.9096717261866231,0.8761036858211668,0.9996444761497418,0.8912573370404696
ls_poly_2,test,0.7763361136855113,0.76758700893918,0.814371631470098,0.7697222871701216,0.9985618617077008,0.8214396045721347
ls_poly_3,fit,0.8819122644423849,0.8764505433041792,0.9114365916642755,0.8771944532846427,0.9996499825304765,0.8917207290701267
ls_poly_3,test,0.7775718257645968,0.7694542903619459,0.8209781001801693,0.7710792585300942,0.9985864284304976,0.8198949644732777
ls_poly_5,fit,0.9541241890639481,0.9528133639771615,0.9570469295602608,0.9524372777944441,0.9998076650565076,0.9717330861909175
ls_poly_5,test,0.8449181340747606,0.8396269410746499,0.854620452146078,0.8408608860773279,0.9990590951684829,0.920605498918752
ls_poly_7,fit,0.9621563175780043,0.9613436556393156,0.9632891271709743,0.9610442793693457,0.9998401842507544,0.9844763670064874
ls_poly_7,test,0.860982391102873,0.8571787134818171,0.8671965745347862,0.8576886924842555,0.999154899450518,0.9564411492122336
remez_2,fit,0.9212233549582948,0.9178542373638602,0.9316765566481657,0.9179196791876961,0.9997140346993245,0.9346617238183503
remez_2,test,0.8087735557615076,0.80161399876516,0.8287247676417477,0.8037920697325907,0.9987587564128834,0.8668520234785295
remez_3,fit,0.9286376274328082,0.9255585625541555,0.9365733449434837,0.925786696543375,0.999733856499894,0.9429255483472351
remez_3,test,0.8186592523941921,0.8122367719020128,0.8354885321509884,0.8138492473655485,0.9988180024546788,0.8816805684275564
remez_5,fit,0.9600710534445475,0.958410170637775,0.9614387022205974,0.9587538633955613,0.9998291784303012,0.9810781587890022
remez_5,test,0.8622181031819586,0.8572988171841246,0.8670391872480248,0.8591204419239582,0.9991256189197903,0.9453197405004634
remez_7,fit,0.964859437751004,0.9640856539127431,0.9655119264773664,0.9640680020857626,0.9998528329267617,0.9881062712388013
remez_7,test,0.8643805993203584,0.8602141731883619,0.8686295017948378,0.8619746499268046,0.9991635176315175,0.965400061785604
ola,fit,0.9687210379981465,0.9683532037447905,0.968800507490182,0.9684064111601554,0.9998689477147044,0.9980691998764288
ola,test,0.8640716713005869,0.8615438409165926,0.8683573882843041,0.862022693371417,0.9991713368787073,0.9947482236638863
precise_a11,fit,0.9697250540624035,0.969376413421631,0.9698011959827386,0.9694155888801417,0.999870773742445,1.0
precise_a11,test,0.8643805993203584,0.8617729234322936,0.8690950451592186,0.862352601698735,0.9991687078528009,0.9996910719802286
