Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8597033374536465,0.8557596660599132,0.8689284355100682,0.857287851037851,0.9989633713396054,1.0
Original,test,0.856966326845845,0.8523553747061545,0.860627646021569,0.8542907949440299,0.9990115221601213,1.0
Quad4FHE,fit,0.8584672435105068,0.8547269018842603,0.8720291158596746,0.8555396700804865,0.998692929767149,0.9610630407911002
Quad4FHE,test,0.8563484708063022,0.8509790708557795,0.8610488605221223,0.8528896827190487,0.9987609624458679,0.9558232931726908
square,fit,0.34919653893695923,0.34373706363958406,0.4825511556293053,0.3531024955769854,0.9022689220532708,0.37021013597033375
square,test,0.3493975903614458,0.3449638225934794,0.5198874413575769,0.3510933330047818,0.9067009060511563,0.367624343527958
ls_poly_2,fit,0.8053152039555006,0.7998586631422331,0.83746323829232,0.802020570132815,0.9984335707654496,0.8572311495673671
ls_poly_2,test,0.7991967871485943,0.7908993695962886,0.8274109154975703,0.7944060359829299,0.9985484282727701,0.8600556070435589
ls_poly_3,fit,0.8034610630407911,0.798096795487903,0.8360631219687343,0.8002490281827016,0.9984305081536827,0.8553770086526576
ls_poly_3,test,0.7979610750695088,0.7894450946151761,0.8266600242739065,0.7931847141208517,0.9985463481502833,0.8585109669447019
ls_poly_5,fit,0.84610630407911,0.8425237449993405,0.8589563922472087,0.8432502304951285,0.9988245684108407,0.9375772558714462
ls_poly_5,test,0.8455359901143034,0.8407145167333292,0.8542763754466857,0.8422416002259782,0.9989043374905743,0.9397590361445783
ls_poly_7,fit,0.8609394313967862,0.8569642987621449,0.8714477416008028,0.8577768744860582,0.9989237854940848,0.9647713226205191
ls_poly_7,test,0.8557306147667594,0.8509507851175143,0.8620436816800832,0.8527144974531167,0.9989829040592558,0.9669447018844609
remez_2,fit,0.8355995055624228,0.8305160777233817,0.8526614966665989,0.8317119246966186,0.9986264671284492,0.9085290482076638
remez_2,test,0.8310163731850478,0.8247357319944618,0.8438338854201259,0.8275369531849756,0.9987332202242654,0.9076305220883534
remez_3,fit,0.8362175525339925,0.8311098866755339,0.8531004709576138,0.8322788181206549,0.9986317808130313,0.9091470951792336
remez_3,test,0.8316342292245906,0.8253343962611739,0.8444185835851064,0.8281205199450129,0.9987366334820553,0.9082483781278962
remez_5,fit,0.857849196538937,0.8538475624256733,0.8690374929700924,0.8547298223318631,0.9989060657003243,0.9610630407911002
remez_5,test,0.8560395427865307,0.8512927574953304,0.862608045993826,0.8531298245633322,0.9989703760870621,0.953660797034291
remez_7,fit,0.8609394313967862,0.857364200428474,0.873311651500427,0.8585509020458,0.9989662383742808,0.9758961681087762
remez_7,test,0.8572752548656163,0.8523582282459483,0.8609049261196218,0.8542794488304929,0.99901847896543,0.9687982700030893
ola,fit,0.8603213844252163,0.8565004578460705,0.8722237796217389,0.8578547444618873,0.9989644283204867,0.9950556242274413
ola,test,0.8563484708063022,0.8520595509193594,0.8605786364603336,0.8536834686801911,0.9987037487052604,0.9947482236638863
precise_a11,fit,0.8597033374536465,0.8557596660599132,0.8689284355100682,0.857287851037851,0.9989646723186065,1.0
precise_a11,test,0.8572752548656163,0.8526242132521644,0.8610771964711195,0.8545909149920491,0.9990114172372334,0.9996910719802286
