pool,corruption,n,orig_top1,orig_top5,quad_top1,quad_top5,quad_vs_orig_agree
05%,contrast,8041,0.9212784479542345,0.9858226588732745,0.9156821290884218,0.9856982962318119,0.973635120009949
05%,gaussian_noise,8041,0.9024996890933964,0.9810968784976993,0.8927994030593209,0.9802263400074618,0.9670439000124362
05%,impulse_noise,8041,0.8974008207934336,0.9803507026489242,0.8885710732495958,0.9786096256684492,0.9658002735978112
05%,jpeg_compression,8041,0.9246362392737222,0.986195746797662,0.9187911951249844,0.986195746797662,0.9748787464245741
05%,motion_blur,8041,0.9176719313518219,0.9834597686854869,0.9102101728640717,0.9834597686854869,0.9740082079343365
05%,spatter,8041,0.895286655888571,0.9758736475562741,0.8870787215520458,0.974132570575799,0.9634373834100236
10%,contrast,8041,0.9212784479542345,0.9858226588732745,0.9148115905981843,0.9858226588732745,0.9732620320855615
10%,gaussian_noise,8041,0.9024996890933964,0.9810968784976993,0.8926750404178585,0.9803507026489242,0.9667951747295113
10%,impulse_noise,8041,0.8974008207934336,0.9803507026489242,0.8884467106081333,0.9786096256684492,0.9654271856734237
10%,jpeg_compression,8041,0.9246362392737222,0.986195746797662,0.9191642830493719,0.9863201094391245,0.975127471707499
10%,motion_blur,8041,0.9176719313518219,0.9834597686854869,0.9098370849396841,0.9837084939684119,0.973137669444099
10%,spatter,8041,0.895286655888571,0.9758736475562741,0.8869543589105833,0.9748787464245741,0.9616963064295485
20%,contrast,8041,0.9212784479542345,0.9858226588732745,0.9155577664469593,0.9855739335903495,0.973386394727024
20%,gaussian_noise,8041,0.9024996890933964,0.9810968784976993,0.8924263151349334,0.9798532520830743,0.9658002735978112
20%,impulse_noise,8041,0.8974008207934336,0.9803507026489242,0.8888197985325208,0.9787339883099117,0.9654271856734237
20%,jpeg_compression,8041,0.9246362392737222,0.986195746797662,0.9191642830493719,0.9858226588732745,0.9753761969904241
20%,motion_blur,8041,0.9176719313518219,0.9834597686854869,0.9104588981469967,0.9833354060440244,0.973635120009949
20%,spatter,8041,0.895286655888571,0.9758736475562741,0.8869543589105833,0.9737594826514115,0.9638104713344111
