Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.898090909090909,0.8979308079727761,0.8990672225204019,0.8980909090909092,0.9989608990198928,1.0
Original,test,0.8485909090909091,0.8484549399059234,0.8505907086704297,0.8485909090909093,0.9974353336932598,1.0
Quad4FHE,fit,0.8934886363636364,0.8933062536235366,0.8945409684894853,0.8934886363636363,0.9988676863138005,0.9762045454545455
Quad4FHE,test,0.8495,0.8494054304274892,0.8519293058796734,0.8495,0.997438342539142,0.9741363636363637
square,fit,0.4763295454545455,0.45816575680962174,0.511596144707175,0.4763295454545455,0.9590187814070353,0.4973409090909091
square,test,0.4449090909090909,0.42711514370934367,0.47607895798960626,0.4449090909090909,0.9501930852610159,0.48718181818181816
ls_poly_2,fit,0.8732045454545454,0.8773985124058727,0.8885468286994158,0.8732045454545454,0.998715823824702,0.9290681818181818
ls_poly_2,test,0.8381818181818181,0.8437412380307705,0.8577743122427884,0.8381818181818181,0.9974212944889738,0.9243181818181818
ls_poly_3,fit,0.8854090909090909,0.8866881087846454,0.8907095171575251,0.8854090909090908,0.9988397450838906,0.9527386363636363
ls_poly_3,test,0.8472272727272727,0.849239759005048,0.855518141164726,0.8472272727272727,0.997622650442294,0.947590909090909
ls_poly_5,fit,0.8926136363636363,0.8928481759023842,0.8945694254146802,0.8926136363636364,0.998906353176004,0.9731022727272727
ls_poly_5,test,0.8494090909090909,0.8498590999791316,0.8528847577194015,0.8494090909090909,0.9976078823871424,0.9709090909090909
ls_poly_7,fit,0.8948068181818182,0.8948146121353523,0.8961445148103531,0.8948068181818182,0.9989191271439845,0.980909090909091
ls_poly_7,test,0.8498181818181818,0.8499272027976531,0.8524613667022268,0.8498181818181818,0.9975441380455998,0.9792272727272727
remez_2,fit,0.8838863636363636,0.8852941795693399,0.8896776240063562,0.8838863636363636,0.9988049402487645,0.9491136363636363
remez_2,test,0.8465909090909091,0.8487569217706684,0.8554181495047701,0.8465909090909091,0.997597036837078,0.9442727272727273
remez_3,fit,0.8889318181818182,0.889362107881023,0.8916469175024555,0.8889318181818182,0.998861862904398,0.9608409090909091
remez_3,test,0.8492272727272727,0.8499828927514844,0.8539216680897067,0.8492272727272727,0.997654088624943,0.9566818181818182
remez_5,fit,0.8942159090909091,0.8939529596313924,0.8951262966900763,0.8942159090909091,0.9989124018854603,0.9778636363636364
remez_5,test,0.8503181818181819,0.8500638201863195,0.852330911568332,0.8503181818181819,0.9975768823456125,0.9756818181818182
remez_7,fit,0.8950227272727272,0.894700621921014,0.895777261307052,0.8950227272727272,0.9989192682160806,0.9832613636363636
remez_7,test,0.8502272727272727,0.8498707043467045,0.8520365866316882,0.8502272727272728,0.9974749906557583,0.9821363636363636
ola,fit,0.8975,0.8973311060281207,0.8984690638808462,0.8975,0.9989567679565181,0.9969204545454545
ola,test,0.8487272727272728,0.8485971041322855,0.8507945679583219,0.8487272727272728,0.9974398978362891,0.9965
precise_a11,fit,0.898090909090909,0.8979288382344635,0.8990636032253534,0.8980909090909092,0.9989609901262511,0.9999090909090909
precise_a11,test,0.8485909090909091,0.8484549399059234,0.8505907086704297,0.8485909090909093,0.9974350928194693,1.0
