Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8627272727272727,0.8618946331446331,0.8809623015873015,0.8635,0.9972464017096158,1.0
Original,test,0.8619545454545454,0.8624618095727985,0.8664950632173642,0.8619545454545455,0.9980433074463225,1.0
Quad4FHE,fit,0.8645454545454545,0.8633188200688201,0.88075,0.8653333333333333,0.9971884496589951,0.9890909090909091
Quad4FHE,test,0.8622727272727273,0.8628922912451839,0.8670772459184869,0.8622727272727272,0.997815638107895,0.9848181818181818
square,fit,0.73,0.7279711662606398,0.7908553113553114,0.7311666666666667,0.9907788418354996,0.78
square,test,0.7220454545454545,0.7290084531909122,0.781352771078165,0.7220454545454547,0.9902693841106358,0.7813636363636364
ls_poly_2,fit,0.8590909090909091,0.8584724474871535,0.8843344155844156,0.8598333333333333,0.9970877881011411,0.9454545454545454
ls_poly_2,test,0.8511818181818182,0.8549711197275854,0.8676638372810973,0.8511818181818183,0.99805650566884,0.9500909090909091
ls_poly_3,fit,0.8672727272727273,0.8665068607862725,0.8854861111111112,0.8678333333333333,0.997216858247143,0.97
ls_poly_3,test,0.8578636363636364,0.8595600187933425,0.8662017760346782,0.8578636363636363,0.9981195543834878,0.9713181818181819
ls_poly_5,fit,0.8672727272727273,0.866129120879121,0.8837777777777778,0.868,0.9972422816859082,0.99
ls_poly_5,test,0.8614545454545455,0.8623520297012607,0.8671896093438051,0.8614545454545454,0.9981010984675445,0.9857272727272727
ls_poly_7,fit,0.8654545454545455,0.8643350538350538,0.8821904761904762,0.8661666666666668,0.9972489857504194,0.9945454545454545
ls_poly_7,test,0.8615454545454545,0.8622295319348617,0.8665232053613511,0.8615454545454546,0.9980743303293326,0.9900909090909091
remez_2,fit,0.8672727272727273,0.8659418702212821,0.8854742063492064,0.8678333333333333,0.9971661712287028,0.9681818181818181
remez_2,test,0.8575909090909091,0.8593971550400917,0.8664355071370321,0.857590909090909,0.9981293554549607,0.9684090909090909
remez_3,fit,0.8718181818181818,0.8703974636474637,0.8888630952380951,0.8725,0.9972043675339961,0.9818181818181818
remez_3,test,0.8602272727272727,0.8612115359218144,0.8661505405212221,0.8602272727272726,0.9981412351011254,0.9778636363636364
remez_5,fit,0.8627272727272727,0.861391552891553,0.8802242063492064,0.8633333333333334,0.9972160798210247,0.990909090909091
remez_5,test,0.8626363636363636,0.863060480208756,0.8668670087162833,0.8626363636363636,0.9980852319448482,0.9882727272727273
remez_7,fit,0.8627272727272727,0.8616100011100011,0.881295634920635,0.8635,0.997241368443899,0.990909090909091
remez_7,test,0.8627272727272727,0.863063659655196,0.8667636326244083,0.8627272727272728,0.9980427073383447,0.9905
ola,fit,0.8636363636363636,0.862942612942613,0.8812956349206348,0.8645000000000002,0.9972509679196614,0.9972727272727273
ola,test,0.8611363636363636,0.8616251068504827,0.8656165536316144,0.8611363636363636,0.9976770920719299,0.9978636363636364
precise_a11,fit,0.8627272727272727,0.8618946331446331,0.8809623015873015,0.8635,0.997248076682277,1.0
precise_a11,test,0.8619545454545454,0.8624587915809211,0.8664896244366187,0.8619545454545454,0.9980430914905105,0.9999090909090909
