Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9669768838186731,0.9680159101087148,0.968517360024857,0.9682403979331186,0.9998180329468694,1.0
Original,test,0.9167750325097529,0.9165988438282665,0.9196662403523133,0.9167582417582418,0.9991486685629639,1.0
Quad4FHE,fit,0.9591714199939958,0.9605867761258885,0.9615095495512834,0.9610594110989108,0.9997785711960878,0.9855899129390573
Quad4FHE,test,0.9144993498049415,0.9145130990815354,0.9184520294331038,0.9144605394605394,0.9991257803103811,0.9817945383615084
square,fit,0.6842789952967077,0.6931690325456197,0.7828048358196374,0.6935995694816987,0.9876730915981606,0.6913839687781447
square,test,0.653446033810143,0.6602333832717757,0.7593212643914021,0.6533383283383283,0.9797873172241308,0.6716514954486346
ls_poly_2,fit,0.9432602821975383,0.9447959474559086,0.9480092169964893,0.9448124016862494,0.9996937709675939,0.9661763234263985
ls_poly_2,test,0.897594278283485,0.898147581060787,0.9057779269438461,0.8975857475857476,0.9989808160394317,0.9496098829648895
ls_poly_3,fit,0.9480636445511859,0.9496796618517019,0.9515573025562403,0.9499721796395013,0.999706589361665,0.9707795456819773
ls_poly_3,test,0.903446033810143,0.9034950079070494,0.9086025085087073,0.9034132534132534,0.9990182943793944,0.9577373211963589
ls_poly_5,fit,0.9579705794055839,0.9597507140489587,0.9602804965158094,0.9603815417101252,0.9997694026007727,0.9859901931351946
ls_poly_5,test,0.9128738621586476,0.9128487438184729,0.916231240700847,0.9128288378288378,0.9991157115446754,0.9778933680104032
ls_poly_7,fit,0.9616731712198539,0.9631617179305858,0.9636402605077514,0.963646482757369,0.9997892710393322,0.9909936955869109
ls_poly_7,test,0.9144993498049415,0.9145135594401008,0.9182247696295797,0.9144688644688644,0.999140239102119,0.9866710013003901
remez_2,fit,0.9488642049434605,0.9504571584525068,0.951900272447567,0.9508244991185941,0.9997032551383332,0.9705794055839088
remez_2,test,0.9083224967490247,0.9082212105874906,0.9126933365486631,0.908275058275058,0.9990316864590483,0.9593628088426528
remez_3,fit,0.9519663764635244,0.9534931698059191,0.9544455027762537,0.954034366674957,0.9997214766625857,0.974982487741419
remez_3,test,0.909297789336801,0.9091147506959919,0.9131984586303572,0.9092574092574093,0.9990615908726177,0.9629388816644994
remez_5,fit,0.9613729610727509,0.9625941001765446,0.963210337746747,0.9629553482742865,0.9997805680523068,0.9880916641649155
remez_5,test,0.9141742522756827,0.9139916012479468,0.9173881083176951,0.9141275391275393,0.9991391886259255,0.9837451235370611
remez_7,fit,0.9620734514159912,0.9631898834058924,0.9638457038076476,0.9635883464178584,0.9997979856264575,0.9910937656359452
remez_7,test,0.9154746423927178,0.9153298793168694,0.9185293336428594,0.9154428904428905,0.9991382925017473,0.9895968790637191
ola,fit,0.9667767437206044,0.9679144255748603,0.9683944248060409,0.9681667649741887,0.9998166322196569,0.9993995797057941
ola,test,0.9171001300390117,0.9168861906624358,0.9200660143939817,0.917099567099567,0.9991450325415415,0.9973992197659298
precise_a11,fit,0.9669768838186731,0.9680159101087148,0.968517360024857,0.9682403979331186,0.99981809984709,1.0
precise_a11,test,0.9167750325097529,0.9165988438282665,0.9196662403523133,0.9167582417582418,0.9991484519733692,1.0
