Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9173047473200613,0.9162764141105426,0.9240837805772871,0.9162731208185755,0.9993332726772457,1.0
Original,test,0.9062739097169089,0.9083451481542897,0.9136204449623928,0.9070402825308487,0.9991231044327142,1.0
Quad4FHE,fit,0.9173047473200613,0.9166811811993121,0.9247912621289245,0.9161803564400967,0.9992823555546018,0.9892802450229708
Quad4FHE,test,0.9085692425401684,0.9108541766069489,0.917013074665683,0.9088612169949075,0.9990838138631595,0.9770466717674062
square,fit,0.7442572741194488,0.7484972376844465,0.8097904298177708,0.7483288356664981,0.9910351164923735,0.7565084226646248
square,test,0.7387146136189747,0.7504353661274886,0.8300960157392966,0.7437314848647301,0.9882616434987207,0.7605202754399388
ls_poly_2,fit,0.9111791730474732,0.9102898714129883,0.9285457391263352,0.9104439571972037,0.9992563441546245,0.9586523736600306
ls_poly_2,test,0.8982402448355011,0.8999030830892275,0.9104505848559211,0.8983276259880223,0.9990192419721543,0.9602142310635042
ls_poly_3,fit,0.9127105666156202,0.9123215236585444,0.9261653930485101,0.9118714979104591,0.9992522344328348,0.9709035222052067
ls_poly_3,test,0.9001530221882172,0.9016734644898315,0.91011588305638,0.9003962020840541,0.9990326703757618,0.9640397857689365
ls_poly_5,fit,0.9157733537519143,0.9145252066648648,0.9263556068750874,0.9147162721838047,0.9993053731847754,0.9831546707503829
ls_poly_5,test,0.9066564651874521,0.9087424050154511,0.9148025338685473,0.907412388110422,0.9991015705919638,0.9801071155317521
ls_poly_7,fit,0.9188361408882083,0.917971073415471,0.9267434946006374,0.917689885871704,0.9993068169064774,0.9923430321592649
ls_poly_7,test,0.9066564651874521,0.9089360057649165,0.9142684796557773,0.9074566528041963,0.9991192818021389,0.9877582249426167
remez_2,fit,0.9081163859111792,0.9077388829378311,0.9221187182226145,0.9067849178238787,0.9992661444867222,0.9678407350689127
remez_2,test,0.9001530221882172,0.9022756842434624,0.9096350472345118,0.9010373068685614,0.9990449800575382,0.9667176740627391
remez_3,fit,0.9096477794793262,0.9088206129938862,0.9217567064969663,0.908640205393452,0.9992721740123381,0.9739663093415007
remez_3,test,0.9020657995409335,0.9042677572877665,0.9109134515559366,0.9031090981446952,0.9990604051134433,0.9674827850038256
remez_5,fit,0.9173047473200613,0.9170580783696634,0.9251983946789142,0.9168034706995745,0.9993153929177214,0.9908116385911179
remez_5,test,0.9078041315990819,0.9103337855626554,0.9156575503592248,0.9088420730369908,0.9991151643353144,0.9843152257077277
remez_7,fit,0.9173047473200613,0.916820710695321,0.9248549790757583,0.9166230955191994,0.9993188403050655,0.9938744257274119
remez_7,test,0.9062739097169089,0.908345744002054,0.9137570662955922,0.9068020145167449,0.9991178838010821,0.9885233358837031
ola,fit,0.9188361408882083,0.9177194155535441,0.9255267820202887,0.9177161222615767,0.9993327593686095,0.998468606431853
ola,test,0.9043611323641928,0.9063730110118496,0.911590658141906,0.9050335315630078,0.9965811194180072,0.9957918898240244
precise_a11,fit,0.9173047473200613,0.9162764141105426,0.9240837805772871,0.9162731208185755,0.9993332726772457,1.0
precise_a11,test,0.9062739097169089,0.9083451481542897,0.9136204449623928,0.9070402825308487,0.9991232524834779,1.0
