Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9035210747767033,0.8845182269009594,0.9056635406428051,0.8776323597326666,0.9981794907166852,1.0
Original,test,0.8532279757901816,0.8093599246153286,0.8163989117069763,0.8099885911189053,,1.0
Quad4FHE,fit,0.8985015132501661,0.8778753035674455,0.8986683958972591,0.8720051748494436,0.9979835304795108,0.9784085037277626
Quad4FHE,test,0.854180676978256,0.8049800201223162,0.8114318812973651,0.8073736060110046,,0.9782559964133603
square,fit,0.43787062326222287,0.48337821146850785,0.7100880735798903,0.4289651727555792,0.9423924442271774,0.44943529932826454
square,test,0.40725173727863706,0.449959532554678,0.6411510426537803,0.4031404104893587,,0.4382985877605918
ls_poly_2,fit,0.8408380699293817,0.8008869642741491,0.8875390431855049,0.7524168988422896,0.9972389532275304,0.8874658595999114
ls_poly_2,test,0.816072629455279,0.775732556197945,0.8468937858936271,0.7363767903850783,,0.8870768885900022
ls_poly_3,fit,0.855490760561994,0.8189636883024036,0.902214398730252,0.7781713470846021,0.9974089276532688,0.906609089343274
ls_poly_3,test,0.829578569827393,0.7885406454902496,0.8448456464557308,0.7563062630413644,,0.9055704998879175
ls_poly_5,fit,0.8908368396446937,0.8678737901986177,0.912623462097242,0.848015035366917,0.997951781593376,0.9626731625698186
ls_poly_5,test,0.8521631921093925,0.8146413064363335,0.839919668179222,0.8026372702957001,,0.960995292535306
ls_poly_7,fit,0.898034005068773,0.8786219480984391,0.9063182953013561,0.8670785033838445,0.9980621178265425,0.9795772741812455
ls_poly_7,test,0.854348800717328,0.8200588116154893,0.8337269596600895,0.8161972986957626,,0.9791526563550773
remez_2,fit,0.8793951920474398,0.8536326601874306,0.9110323688524524,0.8278436630528934,0.9977169920970893,0.9423857680667307
remez_2,test,0.8473436449226631,0.8079015623236929,0.8399378965445933,0.7909430262882314,,0.9423335574983187
remez_3,fit,0.8844885706552497,0.8605495896966773,0.909148851287467,0.8389312191481598,0.9977811530006317,0.9509854580349894
remez_3,test,0.8507061197041023,0.8127769692095638,0.8393022814801804,0.7997033840113418,,0.9514122394082044
remez_5,fit,0.8978494623655914,0.878825533177632,0.8968763361798593,0.8752637866316513,0.9980200610566479,0.9775596072931276
remez_5,test,0.8547410894418291,0.8068307953793706,0.8119016197256563,0.811427829740618,,0.9770791302398565
remez_7,fit,0.9006176029133142,0.8824945922795531,0.896661545585035,0.8814067410189256,0.9980828310072033,0.9823208090352108
remez_7,test,0.8540685944855414,0.8076593391724333,0.8090390324699334,0.8156245895493736,,0.9809459762385115
ola,fit,0.903324229226643,0.8844600341907113,0.9056628561546922,0.877534513110565,0.9981760096587265,0.9981053615806698
ola,test,0.8530598520511096,0.8089368112699273,0.8160279058395172,0.8096385275053006,,0.9967496077112755
precise_a11,fit,0.9035087719298246,0.8845107429851959,0.9056548092541113,0.8776264174930674,0.9981795350753759,0.9999630914593637
precise_a11,test,0.8531719345438242,0.8093750504881376,0.8164504994456762,0.8100110886168023,,0.9997758350145707
