Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.900100908173562,0.85313859841936,0.8626026834317072,0.8541118188423564,,1.0
Original,test,0.8989710481186322,0.872853467353725,0.8798634254988595,0.871067213694015,0.9981844670350302,1.0
Quad4FHE,fit,0.8960645812310797,0.8473659843628033,0.8570379444521827,0.8482052558254837,,0.9828456104944501
Quad4FHE,test,0.893977605164935,0.868341520292588,0.8731604584588705,0.8684905367140157,0.9980016761160945,0.9763946333097953
square,fit,0.30978809283551967,0.3215608169132922,0.4649342584665207,0.29501166396894496,,0.313824419778002
square,test,0.3062645011600928,0.32152747993174,0.6382282333084517,0.2822056217326126,0.8957113480788819,0.30646625643094927
ls_poly_2,fit,0.8536831483350151,0.7883950160567265,0.8784172608323149,0.7556561451649566,,0.887991927346115
ls_poly_2,test,0.8401593866639766,0.7946606499972704,0.9001227102716455,0.7462967412541125,0.9971290587934659,0.8756178755169979
ls_poly_3,fit,0.8819374369323916,0.8305222020810679,0.8741190246914228,0.8118380090823324,,0.929364278506559
ls_poly_3,test,0.8720367194592958,0.8413055179359774,0.8851515635596098,0.8117930454267771,0.9975689719205315,0.9231816806214063
ls_poly_5,fit,0.8990918264379415,0.843256360404766,0.8617552901615266,0.8367204710614062,,0.9717457114026236
ls_poly_5,test,0.8918087360032281,0.8657629145536468,0.8800827898276248,0.8560198509073624,0.9980391619299674,0.9649450216886916
ls_poly_7,fit,0.8970736629667003,0.8411192120526073,0.8554236656461075,0.8381825341354813,,0.9808274470232089
ls_poly_7,test,0.8952385756077877,0.8690809877350903,0.8782838169090833,0.86444442367166,0.9981327526382422,0.9791183294663574
remez_2,fit,0.8849646821392533,0.8349340237529129,0.8655444401466043,0.8214632327900913,,0.941473259334006
remez_2,test,0.876979723595279,0.8499989958322417,0.8788660231704399,0.8289595983124438,0.9976511781615464,0.9342277817007969
remez_3,fit,0.8910191725529768,0.838567721027309,0.8580183446628636,0.8308611908478206,,0.9566094853683148
remez_3,test,0.8848986179763947,0.8585215265296209,0.8738641646388411,0.8478659739259664,0.9978177497574038,0.9487541612024614
remez_5,fit,0.8980827447023209,0.8474375217491671,0.8557733555606533,0.8492689642860233,,0.9808274470232089
remez_5,test,0.8927166347220821,0.8674055628894396,0.8698828438994669,0.8703735839831114,0.9980866431451072,0.9731161101583778
remez_7,fit,0.8960645812310797,0.847968726459475,0.855081485909995,0.8516573416909816,,0.9858728557013118
remez_7,test,0.8966004236860688,0.871825091339035,0.872323845270879,0.8768228934612292,0.998127747231531,0.9814889538989207
ola,fit,0.8990918264379415,0.8507558677961684,0.8606464745888361,0.8516613721664467,,0.9969727547931383
ola,test,0.8979622717643498,0.8711572732914781,0.8779749221335679,0.8696381399137653,0.9961660316487434,0.9962170886714415
precise_a11,fit,0.900100908173562,0.85313859841936,0.8626026834317072,0.8541118188423564,,1.0
precise_a11,test,0.8989710481186322,0.872853467353725,0.8798634254988595,0.871067213694015,0.998184209763485,1.0
