Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9641666666666666,0.9625308559191821,0.9625302019818015,0.9627219516231881,0.9983018952902807,1.0
Original,test,0.8929738562091504,0.8826575037761059,0.8868065078171705,0.8808906066413807,0.987246126259559,1.0
Quad4FHE,fit,0.96125,0.9596751431976575,0.9589502306394042,0.9605884828036321,0.9980164855743993,0.9941666666666666
Quad4FHE,test,0.8970588235294118,0.8874296200842327,0.8916037084427263,0.8860457851402125,0.986781364763461,0.9926470588235294
square,fit,0.5902083333333333,0.5631305324694216,0.7378975978514021,0.54604902388368,0.8212216894852873,0.589375
square,test,0.5253267973856209,0.4728735899417153,0.5848986324551186,0.4602167964474466,0.7755854107345507,0.5531045751633987
ls_poly_2,fit,0.9402083333333333,0.9370134660870216,0.9506160879225869,0.9260108277833002,0.9970609321181162,0.9629166666666666
ls_poly_2,test,0.8888888888888888,0.8758608681007001,0.893298401434777,0.8636511733880156,0.9865314277642386,0.9624183006535948
ls_poly_3,fit,0.9441666666666667,0.9415612533452495,0.9515724221278706,0.933101510443841,0.9971507048937882,0.9685416666666666
ls_poly_3,test,0.8872549019607843,0.873934322712809,0.8880872455080491,0.8638608888531489,0.986781948887484,0.9689542483660131
ls_poly_5,fit,0.954375,0.9523586977026746,0.9558683220365085,0.9491693629636166,0.9977356644456171,0.985
ls_poly_5,test,0.8946078431372549,0.8830809673854189,0.8889641108339351,0.8791385772809921,0.9871825484825294,0.9869281045751634
ls_poly_7,fit,0.9585416666666666,0.956752230460519,0.9578640854756733,0.9557999030167388,0.9979832355904374,0.9922916666666667
ls_poly_7,test,0.8954248366013072,0.8842283872324787,0.8896404997767274,0.8807488529702152,0.9873063082019702,0.9893790849673203
remez_2,fit,0.9479166666666666,0.9458431892821162,0.9509713834840783,0.9412373872618076,0.9972594414375152,0.9741666666666666
remez_2,test,0.8929738562091504,0.8806095015220258,0.8878985953252652,0.8753224192388279,0.9869536763684216,0.9820261437908496
remez_3,fit,0.9491666666666667,0.9469078516202764,0.9510209952697378,0.943191313302198,0.9973642670885116,0.9764583333333333
remez_3,test,0.8962418300653595,0.8848667561254737,0.8908492822447867,0.8809246601351864,0.9870453962993359,0.9836601307189542
remez_5,fit,0.96,0.9584160020520549,0.9575395898222834,0.9594863501872725,0.9978974003877727,0.9916666666666667
remez_5,test,0.8978758169934641,0.8878553056284827,0.8911095634634255,0.8865421351953859,0.9872489480403965,0.9934640522875817
remez_7,fit,0.961875,0.9602424303910725,0.9591293315882333,0.9615805462956954,0.9981221267457482,0.9954166666666666
remez_7,test,0.8978758169934641,0.8882790030627027,0.891204564527051,0.8875571727893709,0.9872521433767846,0.9950980392156863
ola,fit,0.964375,0.9626873810897505,0.9625471102083075,0.9629925143937508,0.9982953755174055,0.9991666666666666
ola,test,0.8929738562091504,0.8826575037761059,0.8868065078171705,0.8808906066413807,0.9872382274291853,1.0
precise_a11,fit,0.9641666666666666,0.9625308559191821,0.9625302019818015,0.9627219516231881,0.9983018631317415,1.0
precise_a11,test,0.8929738562091504,0.8826575037761059,0.8868065078171705,0.8808906066413807,0.987247239731233,1.0
