Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9982463162065267,1.0
Original,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.997013600557137,1.0
Quad4FHE,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9975450774723736,1.0
Quad4FHE,test,0.9443983402489626,0.9398339536747083,0.9437262202049113,0.9370479106011533,0.9965067131477732,0.9941908713692946
square,fit,0.4318936877076412,0.37660711789796075,0.54597096570587,0.36920264561911054,0.6825075624919447,0.42857142857142855
square,test,0.4887966804979253,0.43980601097114114,0.5869230049138874,0.4366695950398171,0.7191573360742984,0.4946058091286307
ls_poly_2,fit,0.946843853820598,0.9445534030664465,0.9555953212408516,0.9358138491310405,0.9980994074539987,0.9767441860465116
ls_poly_2,test,0.9286307053941909,0.9225442673001302,0.9340392727637369,0.9136322595477785,0.9961963667396226,0.9726141078838174
ls_poly_3,fit,0.946843853820598,0.9445534030664465,0.9555953212408516,0.9358138491310405,0.9981047932452088,0.9767441860465116
ls_poly_3,test,0.9294605809128631,0.9231843112096092,0.9344765759758463,0.9144485860783906,0.9961910327087783,0.9734439834024896
ls_poly_5,fit,0.9501661129568106,0.9485242817159129,0.9567306005220522,0.9423535805860261,0.998164254575818,0.9867109634551495
ls_poly_5,test,0.9377593360995851,0.932671829657329,0.9401944444650658,0.926866453598998,0.9966852340090931,0.9842323651452282
ls_poly_7,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9981455165153249,1.0
ls_poly_7,test,0.9443983402489626,0.9396255408689221,0.945339277756027,0.9353133284603788,0.9968567850131087,0.9941908713692946
remez_2,fit,0.946843853820598,0.9450320229546483,0.9524832380095537,0.939106827339273,0.9981594491134957,0.9767441860465116
remez_2,test,0.9344398340248963,0.9284732014806927,0.9355937492432684,0.9228404970146207,0.9963064479585527,0.9775933609958506
remez_3,fit,0.946843853820598,0.9450320229546483,0.9524832380095537,0.939106827339273,0.9981739561826392,0.9767441860465116
remez_3,test,0.9352697095435685,0.9294081066226868,0.9364607259598349,0.923818970595834,0.9963342236495025,0.979253112033195
remez_5,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9980758421664632,1.0
remez_5,test,0.9452282157676348,0.9408311006721368,0.9436851616954512,0.9390138318529146,0.996776792668587,0.991701244813278
remez_7,fit,0.9568106312292359,0.954508688727983,0.9549597636390705,0.9556898488375486,0.9981204197212307,0.9966777408637874
remez_7,test,0.9468879668049792,0.942455821319283,0.9450042530270399,0.9410828412748652,0.9968931088182519,0.995850622406639
ola,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9982376328152451,1.0
ola,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.9970048472708664,1.0
precise_a11,fit,0.9568106312292359,0.9560455091994537,0.957630512550421,0.9556898488375486,0.9982463162065267,1.0
precise_a11,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.9970158173419036,1.0
