Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9549684779345542,0.9555494045863403,0.9564241893241369,0.955640856871757,0.9997201985777276,1.0
Original,test,0.9027958387516255,0.9026911023267359,0.906084883672613,0.9027306027306028,0.9989131230622942,1.0
Quad4FHE,fit,0.9463624537176023,0.9475545690666304,0.948467218017814,0.9479592618957917,0.9995154449626501,0.9812869008305815
Quad4FHE,test,0.9037711313394018,0.9036308283015734,0.9072312241003558,0.9036963036963036,0.9986102437378758,0.9746423927178154
square,fit,0.5196637646352447,0.5114692187639253,0.6364765836959958,0.5114696391072937,0.9568085323369483,0.523166216351446
square,test,0.491222366710013,0.48617629980794713,0.6037491024460604,0.49100066600066594,0.9454226200247522,0.49544863459037713
ls_poly_2,fit,0.9308515961172821,0.9324768179123488,0.9355198307380882,0.9327138247387262,0.999536371429093,0.9576703692584809
ls_poly_2,test,0.8946684005201561,0.8947702478899126,0.9003760456958896,0.8946053946053948,0.9986391546119248,0.9538361508452535
ls_poly_3,fit,0.932352646852797,0.9341225215443013,0.9367520468231104,0.9344432686685206,0.9995439818306475,0.9585709996997899
ls_poly_3,test,0.8940182054616385,0.8940288050203613,0.8991923414450574,0.893947718947719,0.9986561312993485,0.9544863459037711
ls_poly_5,fit,0.9449614730311218,0.946387761023503,0.9475136905377285,0.9466024014349488,0.9996439520170465,0.981787251075753
ls_poly_5,test,0.9021456436931079,0.901973337726358,0.9053667726463812,0.9020812520812522,0.9988311462179374,0.9762678803641093
ls_poly_7,fit,0.9485639947963574,0.9494961517770437,0.9504809934458022,0.9496328168917146,0.9996725470680089,0.9874912438707095
ls_poly_7,test,0.9040962288686606,0.9038785208006949,0.9074394008758527,0.904020979020979,0.9988911310449463,0.9837451235370611
remez_2,fit,0.936055238667067,0.9381302705285871,0.9400526122834688,0.9382812377372474,0.9995585356850005,0.965075552887021
remez_2,test,0.8982444733420026,0.8980638192131934,0.902117185980938,0.8981851481851482,0.9987036960494263,0.9606631989596879
remez_3,fit,0.936055238667067,0.9380775696109273,0.9398391870689113,0.9382342797839559,0.9995726983380392,0.9658761132792955
remez_3,test,0.897594278283485,0.8973880566113147,0.9015849632717787,0.8975357975357976,0.998728945139698,0.9616384915474643
remez_5,fit,0.9478635044531172,0.9492500567500799,0.9506570720281532,0.9493469857855249,0.9996590640655184,0.9833883718603023
remez_5,test,0.9027958387516255,0.9026003040319163,0.9063084256518669,0.9027306027306027,0.9988697413861742,0.979518855656697
remez_7,fit,0.949064345041529,0.9502423369102373,0.9514777920928252,0.950396148378805,0.9996813383091135,0.9858901230861603
remez_7,test,0.903446033810143,0.9031466987696561,0.9068054371041256,0.9033716283716283,0.9989062558413586,0.9840702210663199
ola,fit,0.9548684078855199,0.9554006516476896,0.9563160041739963,0.9555095444889996,0.9997167562270227,0.9988992294606225
ola,test,0.903446033810143,0.9033341553841319,0.9067197563224281,0.9033799533799535,0.9989149167191699,0.9986996098829649
precise_a11,fit,0.9549684779345542,0.9555494045863403,0.9564241893241369,0.955640856871757,0.9997203220879451,1.0
precise_a11,test,0.9024707412223667,0.9023559704488433,0.9057902561052581,0.9024059274059274,0.9989132327100825,0.9996749024707412
