Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9081866870696251,0.9105882911222704,0.9146058546309668,0.9104283976233319,0.9990647133669559,1.0
Original,test,0.9062739097169089,0.9083451481542897,0.9136204449623928,0.9070402825308487,0.9991231044327142,1.0
Quad4FHE,fit,0.9078041315990819,0.9103556887465797,0.9151859945365148,0.9100277449550405,0.9990163376124022,0.9850803366488141
Quad4FHE,test,0.9074215761285387,0.9099294402184289,0.9154525393579448,0.9083584074207747,0.9990684830935368,0.9831675592960979
square,fit,0.7127008416220352,0.7259645147701259,0.8108223836306927,0.720607041222049,0.988496605312673,0.730680948737567
square,test,0.7387146136189747,0.7504353661274886,0.8300960157392966,0.7437314848647301,0.9882616434987207,0.7605202754399388
ls_poly_2,fit,0.8974751338944147,0.8992790005658027,0.9081476662051526,0.899512259630009,0.9989849834739978,0.9602142310635042
ls_poly_2,test,0.8978576893649579,0.8997123424447183,0.9108056831457747,0.8980746169369385,0.9990066664210202,0.9560061208875287
ls_poly_3,fit,0.9009181331293038,0.903143921839391,0.9097676774596297,0.9034095645885001,0.998987433922341,0.9651874521805662
ls_poly_3,test,0.901300688599847,0.9029815621329554,0.9120343462163054,0.9014280172491445,0.9990225078432391,0.9625095638867636
ls_poly_5,fit,0.9058913542463657,0.908143869070481,0.9124527375578848,0.9082866413238857,0.9990528306101014,0.981637337413925
ls_poly_5,test,0.9066564651874521,0.9088814816616237,0.9150594955632495,0.9076139107257375,0.9990981656682975,0.9793420045906657
ls_poly_7,fit,0.9104820198928845,0.913026743904156,0.9173629847870169,0.9128686555747031,0.9990590027210352,0.9892884468247896
ls_poly_7,test,0.9074215761285387,0.9097859923558412,0.9150730477548394,0.90835337512949,0.9991181193254838,0.9862280030604438
remez_2,fit,0.9009181331293038,0.9027508198217189,0.9077448068019319,0.9030854311296874,0.998992083617346,0.9678653404743688
remez_2,test,0.899770466717674,0.9018781729111549,0.9094909548601366,0.9007249208418897,0.9990378166718479,0.9655700076511095
remez_3,fit,0.9024483550114767,0.9042633941795851,0.9092243830526237,0.9045680101383989,0.9990017731651196,0.9720734506503443
remez_3,test,0.9009181331293038,0.9032272413164262,0.9098878039542065,0.9020514514988134,0.9990535932455074,0.9671002295332823
remez_5,fit,0.9078041315990819,0.9103203027877713,0.9149504058732317,0.9101800051068004,0.9990458018162856,0.9869931140015302
remez_5,test,0.9078041315990819,0.9102493634626613,0.9157275264259656,0.9087259290184078,0.9991128773888197,0.9835501147666411
remez_7,fit,0.9104820198928845,0.9128072037096935,0.9172502030215699,0.9125820075238255,0.9990449015792365,0.990053557765876
remez_7,test,0.9062739097169089,0.9083179171963423,0.913598147695429,0.906820014534745,0.9991193804476844,0.9885233358837031
ola,fit,0.9081866870696251,0.910603453665982,0.9146402796653916,0.9104561476510822,0.9990655779582316,0.9992348890589136
ola,test,0.9066564651874521,0.9085898492031173,0.9137873271750804,0.9072627783670346,0.9991229757811183,0.9984697781178271
precise_a11,fit,0.9081866870696251,0.9105882911222704,0.9146058546309668,0.9104283976233319,0.999064851083617,1.0
precise_a11,test,0.9062739097169089,0.9083451481542897,0.9136204449623928,0.9070402825308487,0.9991237107746693,1.0
