Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8922147584951158,0.867744772958191,0.8802106065091239,0.8612973303539544,0.9979733926476683,1.0
Original,test,0.8555817081371889,0.8212712283650349,0.8311776162984983,0.8187963205155026,,1.0
Quad4FHE,fit,0.8885116015846066,0.8646044732150411,0.8764156464606896,0.8587947922596021,0.9977924939570197,0.9858271203956596
Quad4FHE,test,0.8545169244563999,0.82106682667377,0.8286768592993785,0.8206880691877619,,0.9869423895987447
square,fit,0.5404517605373883,0.6067084548305413,0.8358432442308655,0.5419887547958907,0.9822829238065331,0.5566423070298467
square,test,0.5239856534409325,0.5766583514546598,0.8043361804228905,0.5132097809204762,,0.5564895763281775
ls_poly_2,fit,0.7746733594153687,0.7318349351873211,0.8914853496808035,0.6608258154725309,0.9960843405845805,0.81539578258409
ls_poly_2,test,0.7607038780542479,0.7095448213558381,0.8446503568222452,0.6451527627863995,,0.8132705671374131
ls_poly_3,fit,0.8591570089318669,0.8284547566416486,0.9013628540108521,0.7908039622408239,0.9972705853236061,0.9214586255259467
ls_poly_3,test,0.8366958081147725,0.7980307404248833,0.8561310092750175,0.7644956193486864,,0.9207016364043936
ls_poly_5,fit,0.8821387269014049,0.8568249988815978,0.8867917896252356,0.837739320305674,0.9977226580426372,0.9683447749809306
ls_poly_5,test,0.8536763057610401,0.8210026270429988,0.8462705880257501,0.8062107407186446,,0.9690652320107599
ls_poly_7,fit,0.8869245343372456,0.862769844226592,0.882318747087137,0.8506091484145426,0.9978261338802139,0.9827021972884525
ls_poly_7,test,0.8542927594709706,0.820609129345337,0.8371321326722898,0.8124999724669845,,0.9838601210490922
remez_2,fit,0.8565118968529317,0.8257167869148283,0.9009714868774394,0.7869499600137374,0.9972173922721728,0.9177062572279225
remez_2,test,0.8350706119704102,0.7945999407290799,0.8569300009547872,0.7598695627268163,,0.9165545841739521
remez_3,fit,0.877057651140474,0.8501889979338544,0.8860871195332758,0.8276129997828365,0.9975464337124637,0.9561895622647081
remez_3,test,0.85137861466039,0.8153208569397935,0.8461777464975386,0.7971080802168696,,0.9575767765075095
remez_5,fit,0.8877611279250018,0.8630420271525725,0.8729050716465222,0.8584864607514628,0.9977798479144117,0.9829113456853916
remez_5,test,0.8539565119928267,0.8191021309490781,0.8264897794159273,0.8195978898719511,,0.9816184711947994
remez_7,fit,0.889397406559878,0.8650383899697849,0.8716695629795855,0.8636447709923964,0.9978546593151758,0.9853227036736301
remez_7,test,0.8548531719345438,0.8220866114616359,0.825220926493634,0.8271341222920167,,0.9832436673391616
ola,fit,0.8920917300263281,0.8675901481778763,0.8800206499738449,0.8611835012468328,0.9979710802188844,0.9984867498339116
ola,test,0.8556377493835463,0.8230535060382399,0.8326837091084957,0.8212839565854932,,0.9982627213629232
precise_a11,fit,0.8922639698826308,0.8677972222361225,0.8802351813407113,0.8613758955687013,0.9979735443844022,0.9999507886124849
precise_a11,test,0.8555817081371889,0.8212712283650349,0.8311776162984983,0.8187963205155026,,1.0
