Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.8995208070617907,0.8736739496263185,0.880766705889332,0.8716041371887783,0.9983679926043307,1.0
Original,test,0.8989710481186322,0.872853467353725,0.8798634254988595,0.871067213694015,0.9981844670350302,1.0
Quad4FHE,fit,0.8942749054224464,0.8698398611663711,0.8744743902789452,0.8695763899694972,0.9982158550542497,0.9751828499369483
Quad4FHE,test,0.8941793604357914,0.8683197294618968,0.8731164846919105,0.868491048916026,0.9980432336831665,0.9768990214869363
square,fit,0.302547288776797,0.3156741154359057,0.6398113977570989,0.2774590073578665,0.8931721939384211,0.3046153846153846
square,test,0.3062645011600928,0.32152747993174,0.6382282333084517,0.2822056217326126,0.8957113480788819,0.30646625643094927
ls_poly_2,fit,0.8291046658259773,0.7755232218167507,0.9004765102292385,0.722854198611307,0.9971414090868632,0.8642118537200505
ls_poly_2,test,0.8267930999697367,0.7755606991902925,0.8996221675581249,0.7229530596778119,0.9969002131499038,0.8595278926661959
ls_poly_3,fit,0.86718789407314,0.8354582176826433,0.8918572505742604,0.8004433630398272,0.9976492256542894,0.9136443883984867
ls_poly_3,test,0.8655805507918894,0.8320066332102587,0.8899483615091988,0.7965939452002034,0.9974299675449372,0.9114798749117321
ls_poly_5,fit,0.8907944514501892,0.8644365992200098,0.886598390617616,0.850235964515041,0.9981871188083866,0.9591929382093316
ls_poly_5,test,0.8897911832946636,0.863013011105268,0.8800413728143386,0.8510156399657706,0.9980040246700853,0.9599011399172803
ls_poly_7,fit,0.8965447667087011,0.8705148213685382,0.8826057209799458,0.8638894228623756,0.998301052013246,0.976343001261034
ls_poly_7,test,0.8947846262483607,0.8694284358203335,0.8791196808079109,0.8642451986444774,0.9981200100478487,0.9766468273983658
remez_2,fit,0.874905422446406,0.8493264739534612,0.8884661898171662,0.8234855063993478,0.9977758943963623,0.9273644388398486
remez_2,test,0.8734994451730052,0.8460693961714525,0.8807483085865573,0.8212113848533866,0.9975682579675335,0.9278724906688187
remez_3,fit,0.8826229508196721,0.8573719604962514,0.8837764559124377,0.8405905488391154,0.9979451342745441,0.9421941992433795
remez_3,test,0.8820740441844043,0.8556337091705432,0.8743013864002159,0.8421968257648532,0.9977563907836182,0.9440633511550489
remez_5,fit,0.8934174022698613,0.8691042526953474,0.871331484655396,0.8719301071559377,0.9982423899566896,0.9698360655737704
remez_5,test,0.8919600524563704,0.8664812762490511,0.869767332498596,0.8686905328052179,0.9980746832770128,0.9708968021789569
remez_7,fit,0.8971500630517024,0.8717346082016363,0.8710815693734404,0.8774724931007893,0.9982990871964024,0.9794703656998739
remez_7,test,0.8955916473317865,0.8703061474688859,0.8710719507745259,0.8753058017142402,0.9981221115744547,0.9795218400080702
ola,fit,0.8992686002522068,0.8778616474730997,0.8971272907993119,0.8740387831717665,0.998367289841567,0.9975283732660782
ola,test,0.8992736810249168,0.8724784485678555,0.8798264738375833,0.8706740765725716,0.9977220611729295,0.9978311308382931
precise_a11,fit,0.8995208070617907,0.8736739496263185,0.880766705889332,0.8716041371887783,0.9983680062182175,1.0
precise_a11,test,0.8989710481186322,0.8728479419967093,0.8798590414090791,0.871067213694015,0.9981843501477752,0.9999495611822858
