Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9654166666666667,0.9635863646612413,0.9638419833851223,0.963428018975299,0.9983177029196516,1.0
Original,test,0.8962418300653595,0.8860487045403943,0.8909930328593657,0.8825770643185503,0.988281133667116,1.0
Quad4FHE,fit,0.9616666666666667,0.9600611335536173,0.9608948976884096,0.9594143231934995,0.9978835357525858,0.9925
Quad4FHE,test,0.8921568627450981,0.8816264225748828,0.8856948750755481,0.8792224545320521,0.9875759833070042,0.9893790849673203
square,fit,0.65625,0.6390320782569666,0.8007744633356249,0.6343616371616642,0.8788399127193998,0.6589583333333333
square,test,0.571078431372549,0.5388927461002522,0.6549867923628001,0.5323354844330076,0.8346913910783151,0.6078431372549019
ls_poly_2,fit,0.9472916666666666,0.9451151004753167,0.9494964363320143,0.9411835192221175,0.9972659284070622,0.97375
ls_poly_2,test,0.8921568627450981,0.882145792556242,0.8874616980750094,0.8779991980843375,0.9876017718331757,0.9820261437908496
ls_poly_3,fit,0.9472916666666666,0.9451151004753167,0.9494964363320143,0.9411835192221175,0.997270147568492,0.97375
ls_poly_3,test,0.8921568627450981,0.8822548284584028,0.8877276514889746,0.8779991980843375,0.98760706016782,0.9812091503267973
ls_poly_5,fit,0.953125,0.9515496796885917,0.9531599172565145,0.9500097250013816,0.9976966262919753,0.9833333333333333
ls_poly_5,test,0.8913398692810458,0.8803232624813796,0.8844294215299302,0.8774654997565214,0.9878969613871998,0.9869281045751634
ls_poly_7,fit,0.9595833333333333,0.9585346607366473,0.9595239096157054,0.9576137189576687,0.9979129244674562,0.990625
ls_poly_7,test,0.8937908496732027,0.8824374579334388,0.887076941069952,0.8791418720598286,0.9879877863586183,0.9910130718954249
remez_2,fit,0.9475,0.9455969060839322,0.9473396058544009,0.9439318151064356,0.9973536618960555,0.9754166666666667
remez_2,test,0.8913398692810458,0.8809330457021524,0.8848353169926197,0.8780618547259414,0.9877289225039257,0.9820261437908496
remez_3,fit,0.9475,0.9455969060839322,0.9473396058544009,0.9439318151064356,0.99736078614392,0.9754166666666667
remez_3,test,0.8921568627450981,0.8819661826278377,0.8854490021264286,0.8794624149500311,0.9877342178079375,0.9828431372549019
remez_5,fit,0.9564583333333333,0.9553645354272555,0.9553166670633658,0.9554530830152533,0.9978148946233988,0.986875
remez_5,test,0.8946078431372549,0.8850593587491106,0.8875686505978104,0.8838540200769304,0.987962775369385,0.9852941176470589
remez_7,fit,0.9597916666666667,0.958370163417901,0.9584234286755835,0.9584135187262594,0.9980446482295245,0.9927083333333333
remez_7,test,0.8954248366013072,0.885050399085612,0.8890933396865002,0.8824300054950209,0.988080434317208,0.994281045751634
ola,fit,0.965625,0.9638328720876125,0.9642902881637843,0.963462216357816,0.9983060266266559,0.999375
ola,test,0.8946078431372549,0.8840864402674724,0.8884942190690541,0.8810294452709313,0.9882871895885138,0.9983660130718954
precise_a11,fit,0.9654166666666667,0.9635863646612413,0.9638419833851223,0.963428018975299,0.9983181417618073,1.0
precise_a11,test,0.8962418300653595,0.8860487045403943,0.8909930328593657,0.8825770643185503,0.9882823695380446,1.0
