Method,Split,ACC,MacroF1,MacroPrec,MacroRec,AUC_ovr,Agreement
Original,fit,0.9485049833887044,0.9487981634431258,0.9506357741116912,0.9476249866184692,0.9981199244855643,1.0
Original,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.997013600557137,1.0
Quad4FHE,fit,0.9485049833887044,0.9487981634431258,0.9506357741116912,0.9476249866184692,0.9971210998410489,1.0
Quad4FHE,test,0.9443983402489626,0.9398414811586141,0.9444405667066038,0.9363726404931102,0.9959987187709322,0.9941908713692946
square,fit,0.45514950166112955,0.4033019822659895,0.5418585077238751,0.3959696302694301,0.6980628924511557,0.45348837209302323
square,test,0.4887966804979253,0.43980601097114114,0.5869230049138874,0.4366695950398171,0.7191573360742984,0.4946058091286307
ls_poly_2,fit,0.9401993355481728,0.9395954805490723,0.9493655011560389,0.931177227457262,0.9973326794347616,0.9817275747508306
ls_poly_2,test,0.9286307053941909,0.9225442673001302,0.9340392727637369,0.9136322595477785,0.9961916110500274,0.9726141078838174
ls_poly_3,fit,0.9401993355481728,0.9395954805490723,0.9493655011560389,0.931177227457262,0.9973603007479682,0.9817275747508306
ls_poly_3,test,0.9294605809128631,0.9231843112096092,0.9344765759758463,0.9144485860783906,0.9961864218099373,0.9734439834024896
ls_poly_5,fit,0.9435215946843853,0.943090264655645,0.9489539955123943,0.9380895360746153,0.99784735947975,0.9916943521594684
ls_poly_5,test,0.9377593360995851,0.932671829657329,0.9401944444650658,0.926866453598998,0.9966808885378828,0.9842323651452282
ls_poly_7,fit,0.9485049833887044,0.9487981634431258,0.9506357741116912,0.9476249866184692,0.9980173699604239,1.0
ls_poly_7,test,0.9443983402489626,0.9396255408689221,0.945339277756027,0.9353133284603788,0.9968540240743808,0.9941908713692946
remez_2,fit,0.9418604651162791,0.9413526362660226,0.9469029183069928,0.9364474999498206,0.9974397322359649,0.9867109634551495
remez_2,test,0.9344398340248963,0.9284732014806927,0.9355937492432684,0.9228404970146207,0.9963074956593211,0.9775933609958506
remez_3,fit,0.9418604651162791,0.9413526362660226,0.9469029183069928,0.9364474999498206,0.9974941759195309,0.9867109634551495
remez_3,test,0.9344398340248963,0.9283519353268896,0.935328487826544,0.9228404970146207,0.9963280904733313,0.9784232365145228
remez_5,fit,0.9501661129568106,0.9500924450487699,0.9515831292815908,0.9492670227432639,0.9979830467319992,0.9983388704318937
remez_5,test,0.9443983402489626,0.9398407352722238,0.9422874423179337,0.9384135917568762,0.9967729488984991,0.9908713692946058
remez_7,fit,0.9501661129568106,0.9492986354884186,0.9501682365882557,0.9492670227432639,0.9980837407046966,0.9966777408637874
remez_7,test,0.9468879668049792,0.942455821319283,0.9450042530270399,0.9410828412748652,0.9968908717299082,0.995850622406639
ola,fit,0.9485049833887044,0.9487981634431258,0.9506357741116912,0.9476249866184692,0.9981207681600143,1.0
ola,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.9970041650612069,1.0
precise_a11,fit,0.9485049833887044,0.9487981634431258,0.9506357741116912,0.9476249866184692,0.9981224099518007,1.0
precise_a11,test,0.9477178423236514,0.9429332769241857,0.9471642841139516,0.9399250735320066,0.9970158173419036,1.0
